group_id,classification,risk,id,hos,system_id,thing_id,thing_token_present,has_real_data,last_seen,decision,confidence,reason
HOS152|S08,DUPLICATE_INACTIVE,LOW,HOS152-S08-01,HOS152,S08,8KhrvCH2CFN2RhGysZ4eUNPacDOFTjtu7YvwXwB4TPw,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS152|S08,DUPLICATE_INACTIVE,LOW,HOS152-S08-02,HOS152,S08,CTj-bcu99SvXcnVdPFJyHxbrl2NF6U1WjMSeO1Szt5Y,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS146|S08,DUPLICATE_INACTIVE,LOW,HOS146-1,HOS146,S08,cH9EJUyf8Tew8iT7NYtGrgbqGrOkgN2c4Kb7f0VkMB0,True,True,2026-06-08T12:34:26.226Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS146|S08,DUPLICATE_INACTIVE,LOW,HOS146-2,HOS146,S08,qmUdI8AnDmfseGXvP_z1BYomsX7nGAosyBlx62J3wNU,True,True,2026-06-08T12:32:26.572Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS146|S08,DUPLICATE_INACTIVE,LOW,HOS146-S08-01,HOS146,S08,KFOaG-nAoO2Sdr0aqmftN_xKZ9iVwkcwWEd_R-g7eXo,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS146|S08,DUPLICATE_INACTIVE,LOW,HOS146-S08-02,HOS146,S08,ynXBuaDq61i5td7ZOlA-_rrIpVQE6Mu_ShML8lBgo7A,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS012|S08,DUPLICATE_INACTIVE,LOW,HOS012-2,HOS012,S08,OpMMggBFJhWLRZJ4_UysbDAjizpJGTN7SPeOsv15tl0,True,True,2026-06-08T12:33:55.391Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS012|S08,DUPLICATE_INACTIVE,LOW,HOS012-1,HOS012,S08,LjRMbgRQ0V1DLQMNqmfK68pzBJs_lAwH5m-p102Z9eQ,True,True,2026-06-08T12:31:57.464Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS012|S08,DUPLICATE_INACTIVE,LOW,HOS012-S08-02,HOS012,S08,A84UIWUVbmc489dWDjDxzNNetMukE5NUC-iok1GBeaI,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS012|S08,DUPLICATE_INACTIVE,LOW,HOS012-S08-01,HOS012,S08,pe_BotDqUE80Gth1DFAoL2bfWe3s4tYoyBCxzEvIwbk,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
